drug	bbb_Target	bbb_MechanismOfAction	bbb_CurrentlyApprovedForGBM	bbb_ClinicalExperienceInGBM	bbb_ClinicalExperiencePMIDOrClinicalTrialID	bbb_FDAapprovalDocuments	bbb_BBBPubmedID	bbb_BBBCitation	bbb_BBBInformation	bbb_ExperimentalEvidenceBBB	bbb_CNSActivityPredictionScoreMPOAnalysis	bbb_CNSActivityPredictionClassification	bbb_MDR_ABCB1_BCRP_ABCG2_substrate	bbb_TransporterSubstrate	bbb_TransporterInhibitor	bbb_EffluxPumpText	bbb_EffluxPubmedID	bbb_EffluxCitation	bbb_InfluxTransporterSubstrate	bbb_UptakeTransporterText	bbb_UptakeTransporterPubmedID	bbb_UptakeTransporterCitation	bbb_AdverseEffects	bbb_Drug_DrugInteractions	bbb_CYP450Substrate	bbb_CYP450Inhibitor	bbb_CYP450Inducer	bbb_FDAApprovalStatus	bbb_MPOValueClogP	bbb_MPOValueClogD	bbb_MPOValueTPSA	bbb_MPOValueMW	bbb_MPOValueHBD	bbb_MPOValuepKa	bbb_MPOT0ClogP	bbb_MPOT0ClogD	bbb_MPOT0TPSA	bbb_MPOT0MW	bbb_MPOT0HBD	bbb_MPOT0pKa	bbb_QikPropCNSActivity	bbb_QikPropmolMW	bbb_QPlogBB	bbb_QPlogKhsa	bbb_QPPCaco	bbb_QPPMDCK	bbb_RuleOfFive	bbb_QikPropBBBPlus	bbb_UptakeTransporterSubstrate	bbb_UptakeTransporterInhibitor	bbb_RouteofAdministration	bbb_BrandName
Anagrelide	Phosphodiesterase inhibitor	The exact mechanism of action is not known. It is thought that a reduction in platelet production is the result of decreased megakaryocyte hypermaturation.1 Anagrelide disrupts the postmitotic phase of megakaryocyte development, resulting in a reduction in the size of these cells.2,3 Anagrelide is also thought to inhibit adenosine diphosphate (ADP) and collagen induced platelet aggregation	NO	unspecified	unspecified	No CNS distribution information available. European Medicines Agency approval documents: A quantitative tissue distribution study conducted in the rat after oral administration of 14C-labelled drug at 5 mg base/kg showed higher radioactivity than in plasma from 21 h to 72 h in blood cells, kidney, liver, lungs. The lowest levels of tissue localisation were seen in the eyes, gonads and brain.	unspecified	European Medicines Agency approval documents	European Medicines Agency approval documents: A quantitative tissue distribution study conducted in the rat after oral administration of 14C-labelled drug at 5 mg base/kg showed higher radioactivity than in plasma from 21 h to 72 h in blood cells, kidney, liver, lungs. The lowest levels of tissue localisation were seen in the eyes, gonads and brain.	NO	5.833333333	YES	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Cardiovascular adverse events, Pulmonary disorders, Renal abnormalities	Agents with Antiplatelet Properties, Anticoagulants, Collagenase (Systemic), Dabigatran Etexilate, Dasatinib, Drotrecogin Alfa (Activated), Glucosamine, Herbs (Anticoagulant/Antiplatelet Properties), Ibritumomab, MAO Inhibitors, Multivitamins/Fluoride (with ADE), Multivitamins/Minerals (with ADEK, Folate, Iron), Multivitamins/Minerals (with AE, No Iron), Nonsteroidal Anti-Inflammatory Agents, Omega-3 Fatty Acids, Pentosan Polysulfate Sodium, Pentoxifylline, Prostacyclin Analogues, Rivaroxaban, Salicylates, Sucralfate, Thrombolytic Agents, Tipranavir, Tositumomab and Iodine I 131 Tositumomab, Vitamin E 	unspecified	unspecified	unspecified	FDA Approved	1.13	1.13	45	256	1	-0.99	1	1	1	1	0.833333333	1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Oral	Agrylin
Anastrozole	Non-steroidal Aromatase Inhibitor	reversible (Type II), nonsteroidal aromatase inhibitor	NO	unspecified	unspecified	No CNS distribution information available.	http://www.ncbi.nlm.nih.gov/pubmed/?term=10951345	Howell A, Cancer 2000, 89:817-825	In animal models, Faslodex [Anastrozole] does not cross the blood-brain barrier	NO	6	YES	yes	ABCB1	unspecified	The brain-to-plasma ratio (Kp,brain , mL/g brain) of anastrozole was 0.0299 ± 0.0068, which was lower than that of letrozole (0.383 ± 0.048) and vorozole (0.185 ± 0.031) despite their similar physicochemical properties. The brain-to-plasma unbound concentration ratio of anastrozole, measured using microdialysis, was 0.118 ± 0.037 mL/g brain. In situ mouse brain perfusion also demonstrated that the uptake clearance [mL/(min·g brain)] of anastrozole by the brain (0.108 ± 0.018) was lower than that for letrozole and vorozole (0.422 ± 0.068 and 0.910 ± 0.152, respectively). Anastrozole and vorozole were transported by P-glycoprotein (P-gp) in vitro, whereas none of the compounds were transported by breast cancer resistance protein (BCRP). The Kp,brain of anastrozole and vorozole were increased by 12- and 3.3-fold, respectively, in Mdr1a/b/Bcrp(-/-) mice. Taken together, these results suggest that active efflux mediated by P-gp at the blood-brain barrier limits the effect of anastrozole in the central nervous system, whereas vorozole and letrozole easily traverse the barrier.	http://www.ncbi.nlm.nih.gov/pubmed/?term=23712697	Miyajima M, J Pharm Sci 2013, 102:3309-3319	unspecified	unspecified	unspecified	unspecified	Decreased bone mineral density, Hypercholesterolemia	Amphotericin B, Aripiprazole, Cardiac Glycosides, Dofetilide, Estrogen Derivatives, Lomitapide, Methadone, Pimozide, Tamoxifen, Vitamin K Antagonists	unspecified	CYP1A2, CYP2C8, CYP2C9, CYP3A4	unspecified	FDA Approved	0.97	0.97	78	293	0	2.62	1	1	1	1	1	1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Oral	Arimidex
Arsenic trioxide	Idiopathic - may target thioredoxin reductase	Induces apoptosis in APL cells via morphological changes and DNA fragmentation; also damages or degrades the fusion protein PML-RAR alpha	NO	In a phase I study, the MTD of TMZ 75 mg/m(2)/ATO 0.2 mg/kg was safe and well tolerated. A phase II study evaluating the efficacy of this combination is underway.	http://www.ncbi.nlm.nih.gov/pubmed/?term=22875709	No CNS distribution information available.	http://www.ncbi.nlm.nih.gov/pubmed/?term=19733394	Kiguchi T, Leuk Res 2010, 34:403-435	Arsenic trioxide exists as high molecular mass proteins and low molecular mass proteins in the plasma, and metabolites seem to be able to penetrate blood-brain barrier. . Trivalent arsenic (AS(III)) and dimethylarsinic acid (DMA) became detectable after As(2)O(3) infusion, though the levels of arsenic metabolites in the cerebrospinal fluid was lower than plasma levels. Results suggest that a combinatory treatment of As(2)O(3) with other chemotherapeutics could be effective for APL patients with CNS involvement.	YES	unspecified	unspecified	yes	ABCB1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	APL differentiation syndrome, Hyperleukocytosis, QT prolongation	Clozapine, Herbs (Hypoglycemic Properties), Highest Risk QTc-Prolonging Agents, Hypoglycemic Agents, Ivabradine, Loop Diuretics, MAO Inhibitors, Mifepristone, Moderate Risk QTc-Prolonging Agents, QTc-Prolonging Agents (Indeterminate Risk and Risk Modifying), Salicylates, Selective Serotonin Reuptake Inhibitors 	unspecified	unspecified	unspecified	FDA Approved	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	IV	Trisenox
Ascorbate	Vitamin C	Vitamin C is an essential nutrient with antioxidant functions at normal physiologic concentrations. Laboratory studies have reported that high-dose vitamin C has pro-oxidant properties and decreased cell proliferation in various cancer cell lines.	NO	A Phase I Trial of High-Dose Ascorbate in Glioblastoma Multiforme; ongoing	http://www.clinicaltrials.gov/ct2/results?term=NCT01752491	Not FDA regulated	http://www.ncbi.nlm.nih.gov/pubmed/?term=11573006	Huang J, Proc Natl Acad Sci U S A 2001, 98:11720-11724	Although the antioxidant ascorbic acid (AA) or vitamin C does not penetrate the blood–brain barrier (BBB), its oxidized form, dehydroascorbic acid (DHA), enters the brain by means of facilitative transport. Our results confirm previous findings that i.v. administration of DHA allows supraphysiologic concentrations of ascorbate to be achieved in the brain whereas AA administration does not	NO	4.433333333	YES	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Aluminum Hydroxide, Amphetamines, Amphetamines, Bortezomib, Copper, Cyclosporine (Systemic), Deferoxamine, Estrogen Derivatives	unspecified	unspecified	unspecified	FDA Approved	-2.41	-5.52	107	176	4	4.09	1	1	0.433333333	1	0	1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Oral	unspecified
Atorvastatin	HMG-CoA-reductase inhibitor	The active ingredient in a drug used to lower the amount of cholesterol in the blood and to prevent stroke, heart attack, and angina (chest pain). It is also being studied in the prevention and treatment of some types of cancer and other conditions. Atorvastatin blocks an enzyme that helps make cholesterol in the body. It also causes an increase in the breakdown of cholesterol. It is a type of HMG-CoA reductase inhibitor and a type of statin. 	NO	unspecified	unspecified	Hemorrhagin in the brain has been a class finding with the statins. One person suffered mental symptoms, impying that atorvastatin shares the CNS toxicity seen with the other statins. The brain is exposed to drug: 5% of the plasma drug level was present in dog brain (dosing radioactive atorvastatin) and in vitro studies showed more facile crossing of membrane barriers than other statins.	http://www.ncbi.nlm.nih.gov/pubmed/?term=20633110	Wood W, Ann N Y Acad Sci 2010, 1199:69-76	While atorvastatin is administered as an acid it undergoes lactonization in vivo 23. Serum levels of atorvastatin lactone and acid were comparable in human subjects. The partition coefficients of atorvastatin lactone and simvastatin lactone are quite similar and it is predicted that atorvastatin lactone would indeed cross the blood-brain barrier.	YES	unspecified	unspecified	yes	ABCB1	ABCB1	unspecified	unspecified	unspecified	yes	unspecified	unspecified	unspecified	Diabetes mellitus, Hepatoxicity, Immune-mediated necrotizing myopathy, Myopathy/rhabdomyolysis	Afatinib , Aliskiren , Amiodarone , Antacids , Aripiprazole , Azithromycin (Systemic) , Bexarotene (Systemic) , Bezafibrate , Bile Acid Sequestrants , Boceprevir , Bosentan , Bosutinib , Cimetidin  , Clarithromycin , Cobicistat , Colchicine , Conivaptan , Cyclosporine (Systemic) , CYP3A4 Inducers (Strong) , CYP3A4 Inhibitors (Moderate) , CYP3A4 Inhibitors (Strong) , Cyproterone , Dabigatran Etexilate , Dabrafenib , Danazol , Daptomycin , Dasatinib, Deferasirox , Digoxin , Diltiazem , Dofetilide , Dronedarone , Efavirenz , Eltrombopag , Erythromycin (Systemic) , Etravirine , Everolimus , Fenofibrate , Fenofibric Acid , Fluconazole , Fosphenytoin , Fusidic Acid, Gemfibrozil , Grapefruit Juice , Itraconazole , Ivacaftor , Ketoconazole (Systemic) , Lanthanum , Lomitapide , Midazolam , Mifepristone , Niacin , Niacinamide , P-glycoprotein/ABCB1 Inducers , P-glycoprotein/ABCB1 Inhibitors , P-glycoprotein/ABCB1 Substrates , Pazopanib , Phenytoin , Pimozide , Pomalidomide , Posaconazole , Protease Inhibitors , Proton Pump Inhibitors , Prucalopride , Quinine , Red Yeast Rice , Rifamycin Derivatives , Rivaroxaban , Sildenafil , Silodosin , Spironolactone , St Johns Wort , Telaprevir , Telithromycin , Tipranavir , Tocilizumab , Topotecan , Trabectedin , Verapamil , Vincristine (Liposomal) , Voriconazole	CYP3A4	CYP3A4	unspecified	FDA Approved	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	SLCO1B1	unspecified	Oral	Lipitor
Auranofin	Thioredoxin reductase	Auranofin interacts with selenocysteine residue within the redox-active domain of mitochondrial thioredoxin reductase (TrxR), thereby blocking the activity of TrxR. As a result, this agent induces mitochondrial oxidative stress leading to the induction of apoptosis. Furthermore, this agent strongly inhibits the JAK1/STAT3 signal transduction pathway, thereby suppressing expression of immune factors involved in inflammation. TrxR, overexpressed in many cancer cell types, inhibits apoptosis, promotes cell growth and survival and plays a role in resistance to chemotherapy; TrxR catalyzes the reduction of oxidized thioredoxin (Trx) and plays a central role in regulating cellular redox homeostasis.	NO	unspecified	unspecified	No FDA review documents available online.	unspecified	National Library of Medicine HSDB Database	Au dose not pass the blood-brain barrier. Following oral administration of multiple doses of auranofin in animals, gold is distributed in highest concentrations into the kidneys; gold is also distributed into the spleen, lungs, adrenals, and liver, with lower concentrations being distributed into the heart, testes, GI tract, muscle, eyes, fat, and brain.	NO	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Dermatologic reactions, Gastrointestinal effects, Hematologic effects, Hepatic effects, Pulmonary toxicity, Renal effects	ACE inhibitors: Concurrent use of gold products with ACE inhibitors may increase the risk of nitritoid reactions	unspecified	unspecified	unspecified	FDA Approved	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Oral	Ridaura
Axitinib	VEGFR1, VEGFR2, VEGFR3	An orally bioavailable tyrosine kinase inhibitor. Axitinib inhibits the proangiogenic cytokines vascular endothelial growth factor (VEGF) and platelet-derived growth factor receptor (PDGF), thereby exerting an anti-angiogenic effect. 	NO	A Randomized Phase II Clinical Trial on Axitinib for the Treatment of Patients With Recurrent Glioblastoma (AxiG)	http://www.clinicaltrials.gov/ct2/results?term=NCT01562197	No CNS distribution information available.	http://www.ncbi.nlm.nih.gov/pubmed/?term=21282407[uid]+OR+23729661[uid]	Poller B, Drug Metab and Dispos 2011, 39:729-735; Reyner E, Drug Metab Dispos 2013, 41:1575-1583	The lowest measured concentrations [of radiolabelled axitinib] were in the brain and spinal cord.  During the 1st h of exposure a more or less steady-state situation in axitinib brain/plasma ratios [<0.1] has been established that is in part determined by Abcb1 and/or Abcg2 activity and that does not dramatically change between 1 and 4 h, as the plasma levels of axitinib drop. Concomitant administration of axitinib with inhibitors of ABCB1 and/or ABCG2 might thus be a promising approach to enhancing axitinib brain and brain tumor cell accumulation or to overcoming ABCB1-mediated drug resistance.  Mouse whole-body autoradiography revealed that [(14)C]axitinib-equivalents showed rapid absorption and distribution to all tissues except the brain. This suggests that efflux transport of axitinib may occur at the mouse blood-brain barrier. 	NO	3.536928571	NEUTRAL	yes	ABCB1	unspecified	We studied axitinib transport using Madin-Darby canine kidney II cells overexpressing human ABCB1 or ABCG2 or murine Abcg2. Axitinib was a good substrate of ABCB1 and Abcg2, whereas transport activity by ABCG2 was moderate. Relative brain accumulation of axitinib in Abcb1a/1b(-/-) and Abcb1a/1b;Abcg2(-/-) mice was, respectively, 6.8- and 13.9-fold higher than that in wild-type mice at 1 h and 4.9- and 20.7-fold at 4 h after axitinib administration. In Abcg2(-/-) mice, we found no significant differences in brain accumulation compared with those in wild-type mice. Thus, Abcb1 strongly restricts axitinib brain accumulation and completely compensates for the loss of Abcg2 at the blood-brain barrier, whereas Abcg2 can only partially take over Abcb1-mediated axitinib efflux. Hence, Abcg2 has a stronger impact on axitinib oral plasma pharmacokinetics, whereas Abcb1 is the more important transporter at the blood-brain barrier. These findings illustrate that in vitro transport data for ABCB1 and ABCG2 cannot always be simply extrapolated to the prediction of the relative impact of these transporters on oral availability versus brain penetration.	http://www.ncbi.nlm.nih.gov/pubmed/?term=21282407	Poller B, Drug Metab Dispos 2011, 39:729-735	yes	unspecified	unspecified	unspecified	Gastrointestinal events, Hemorrhage, Hypertension, Proteinuria, Reversible posterior leukoencephalopathy syndrome, Thrombotic events, Thyroid dysfunction, Wound healing complications	Amphotericin B, Cardiac Glycosides, CYP3A4 Inducers (Strong), CYP3A4 Inducers (Weakly to Moderately Effective), CYP3A4 Inhibitors (Moderate), CYP3A4 Inhibitors (Strong), Dabrafenib, Dasatinib, Deferasirox, Grapefruit Juice, Ivacaftor, Mifepristone, St Johns Wort, Tocilizumab, Vitamin K Antagonists	CYP1A2, CYP2C19, CYP3A4	unspecified	unspecified	FDA Approved	4.15	4.15	95.97	386.47	2	4.3	0.425	0	0.801	0.810928571	0.5	1	1	368.328	0.03	-0.585	2363.065	1293.317	0	Yes	SLCO1B1, UGT1A1	unspecified	Oral	Inlyta
Azacitidine	Nucleoside analog	Azacitidine is a synthetic pyrimidine nucleoside analog of cytidine. Azacitidine appears to exert its antineoplastic effect by multiple mechanisms, including a direct cytotoxic effect on abnormal hematopoietic cells in the bone marrow through incorporation into DNA and RNA, and an inhibition of DNA methyltransferase, causing hypomethylation of DNA.	NO	unspecified	unspecified	There was minimal distribution of 5-azacitidine to the CNS, but the amount of 5-AZ could be influential since clinical observation in mice showed hypoactivity, ataxia, impaired righting reflex and prostration.	unspecified	unspecified	unspecified	NO	4	YES	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Bone marrow suppression, Hepatotoxicity, Renal toxicities	Amphotericin B, BCG, Clozapine, Coccidioidin Skin Test, Denosumab, Echinacea, Leflunomide, Natalizumab, Pimecrolimus, Roflumilast, Sipuleucel-T, Tacrolimus (Topical), Tofacitinib, Trastuzumab, Vaccines (Inactivated), Vaccines (Live) 	unspecified	unspecified	unspecified	FDA Approved	-1.99	-1.99	141	244	5	3.28	1	1	0	1	0	1	-1	232.112	-0.486	-3.308	304.114	136.639	0	No	unspecified	unspecified	IV, SC	Vidaza
Belinostat	HDAC inhibitor	A novel hydroxamic acid-type histone deacetylase (HDAC) inhibitor with antineoplastic activity. Belinostat targets HDAC enzymes, thereby inhibiting tumor cell proliferation, inducing apoptosis, promoting cellular differentiation, and inhibiting angiogenesis. This agent may sensitize drug-resistant tumor cells to other antineoplastic agents, possibly through a mechanism involving the down-regulation of thymidylate synthase. 	NO	unspecified	unspecified	No CNS distribution information available.	http://www.ncbi.nlm.nih.gov/pubmed/?term=17960383	Warren K, Cancer Chemother Pharmacol 2008, 62:433-437	IV belinostat is rapidly cleared from plasma and has limited penetration into the CSF. We studied the cerebrospinal fluid (CSF) penetration of intravenous (IV) belinostat in a non-human primate model as a surrogate for blood:brain barrier penetration. Belinostat was cleared rapidly from plasma with a half-life of 1.0 h, a mean residence time of 0.47 h, and a clearance of 425 ml/min/m(2). CSF penetration of belinostat was limited. CSF drug exposure was less than 1 percent of plasma drug exposure and less than 10 percent of free (non-protein bound) plasma drug exposure.	NO	3.6	NEUTRAL	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Bone marrow suppression, gastrointestinal toxicity, hepatotoxicity, infection, tumor lysis syndrome	Atazanavir, Clozapine, Dipyrone	unspecified	unspecified	unspecified	FDA Approved	2.23	2.16	103.88	318	3	not available	1	0.92	0.5408	0.91	0.25	0	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	IV	Beleodaq
Bendamustine	Alkylating agent	Bendamustine is an alkylating agent (nitrogen mustard derivative) with a benzimidazole ring (purine analog) which demonstrates only partial cross-resistance (in vitro) with other alkylating agents. It leads to cell death via single and double strand DNA cross-linking. Bendamustine is active against quiescent and dividing cells. The primary cytotoxic activity is due to bendamustine (as compared to metabolites).	NO	Bendamustine was reasonably well tolerated but failed to meet the study criteria for activity in adults with recurrent GBM.	http://www.ncbi.nlm.nih.gov/pubmed/?term=21626071	No CNS distribution information available.	http://www.ncbi.nlm.nih.gov/pubmed/?term=21626071	Chamberlain M, J Neurooncol 2011, 105:523-530	Bendamustine has a bifunctional mechanism of action including alkylation, penetrates the CNS and does not show cross resistance to other alkylator chemotherapies.Tissue distribution studies of intravenous [14C]-bendamustine in mice, rats, and dogs demonstrated that radioactivity was distributed broadly, including brain tissue 	YES	5.833333333	YES	yes	ABCB1; ABCG2	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Bone marrow suppression, Dermatologic toxicity, Extravasation, Gastrointestinal toxicities, Hypersensitivity/infusion reaction, Hypokalemia, Infection, Secondary malignancy, Tumor lysis syndrome	Allopurinol, Clozapine, CYP1A2 Inducers (Strong), CYP1A2 Inhibitors (Strong) 	CYP1A2	unspecified	unspecified	FDA Approved	2.69	0.1	58	358	1	7.24	1	1	1	1	0.833333333	1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	IV	Treanda
Benzthiazide	Thiazide	Benzthiazide is used to treat hypertension and edema. Like other thiazides, benzthiazide promotes water loss from the body (diuretics). They inhibit Na+/Cl- reabsorption from the distal convoluted tubules in the kidneys. Thiazides also cause loss of potassium and an increase in serum uric acid. Thiazides are often used to treat hypertension, but their hypotensive effects are not necessarily due to their diuretic activity. Thiazides have been shown to prevent hypertension-related morbidity and mortality although the mechanism is not fully understood. Thiazides cause vasodilation by activating calcium-activated potassium channels (large conductance) in vascular smooth muscles and inhibiting various carbonic anhydrases in vascular tissue.	NO	unspecified	unspecified	No FDA review documents available online.	unspecified	unspecified	unspecified	unknown	3.402380952	NEUTRAL	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	FDA Approved	2.63	2.5	161	432	3	5	1	0.75	0	0.485714286	0.166666667	1	0	417.816	0.222	-2.191	2179.992	2682.526	0	Neutral	unspecified	unspecified	Oral	unspecified
Bevacizumab	VEGF ligand	A recombinant humanized monoclonal IgG1 antibody that binds to and inhibits the biologic activity of human vascular endothelial growth factor (VEGF). Bevacizumab prevents or reduces the formation of blood vessels (angiogenesis). 	YES	Single-agent bevacizumab has significant biologic and antiglioma activity in patients with recurrent glioblastoma.	http://www.ncbi.nlm.nih.gov/pubmed/?term=19114704	Limited distribution to tissues (125I-rhuMAb VEGF in Rabbits).	http://www.ncbi.nlm.nih.gov/pubmed/?term=22825032	Kunnakkat S, Cancer Chemother Pharmacol 2012, 70:353-363	Because bevacizumab can cross the blood brain barrier, it has become a potentially important tool in treating brain metastases that escape conventional chemotherapy. Radiotherapy is thought to alter the BBB in ways that increase antibody access to tumor sites	YES	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Fistula/abscess formation, Gastrointestinal perforation, Heart failure, Hemorrhage, Hypertension, Infusion reactions and hypersensitivity, Mortality, Necrotizing fascitis, Ocular adverse events, Ovarian failure, Proteinuria/nephrotic syndrome, Reversible posterior leukoencephalopathy syndrome, Thromboembolism, Wound dehiscence 	Antineoplastic Agents (Anthracycline, Systemic), Clozapine, Irinotecan, SORAfenib, SUNItinib	unspecified	unspecified	unspecified	FDA Approved	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	IV	Avastin
Bexarotene	RXR agonist	Bexarotene selectively binds and activates retinoid X receptor subtypes (RXRalpha, RXRbeta, RXRgamma). RXRs can form heterodimers with various receptor partners such as retinoic acid receptors (RARs), vitamin D receptor, thyroid receptor, and peroxisome proliferator activator receptors (PPARs). Once activated, these receptors function as transcription factors that regulate the expression of genes that control cellular differentiation and proliferation. Bexarotene inhibits the growth in vitro of some tumor cell lines of hematopoietic and squamous cell origin. It also induces tumor regression in vivo in some animal models.	NO	unspecified	unspecified	No CNS distribution information available.	http://www.ncbi.nlm.nih.gov/pubmed/?term=22323736	Cramer P, Science 2012, 335:1503-1506	Bexarotene (Targretin) is a highly selective, blood-brain barrier–permeant (fig. S3A), RXR agonist approved by the U.S. Food and Drug Administration (FDA) 	YES	3.683333333	NEUTRAL	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Hypothyroidism, Leukopenia, Lipid abnormalities, Pancreatitis, Photosensitivity, Visual disturbances	Aripiprazole, , AtorvaSTATin, , Axitinib, , Carbamazepine, , CARBOplatin, , Clozapine, , Contraceptives (Estrogens), , Contraceptives (Progestins), , Gemfibrozil, , Multivitamins/Fluoride (with ADE), , Multivitamins/Minerals (with ADEK, Folate, Iron), Multivitamins/Minerals (with AE, No Iron), , PACLitaxel, , Porfimer, Saxagliptin, , Tamoxifen, , Tetracycline, Derivatives, , Tigecycline, Vitamin A 	CYP3A4	unspecified	CYP3A4	FDA Approved	8.55	5.63	37	348	1	4.08	0	0	0.85	1	0.833333333	1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Oral	Targretin
